"","Time","Time Code","Country Name","Country Code","GDP (current US$) [NY.GDP.MKTP.CD]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","Population, total [SP.POP.TOTL]","GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP (current LCU) [NY.GDP.MKTP.CN]","GDP per capita (constant LCU) [NY.GDP.PCAP.KN]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]"
"1",2000,"YR2000","China","CHN","1211346869600.406","959.37248363586446","1262645000","7.6385976760329442","2917.2425297444192","3683441693969.1421","8.4900934057519066","10028013925300","13662.468602734736","16.838429854388988","1.8303437176953"
"2",2000,"YR2000","India","IND","468394937262.36993","443.3141938113165","1056575548","2.0210885949553159","2093.2659895521956","2211693660020.8735","3.8409911568128479","21398856906300","40950.558678176036","11.94783546894641","2.94892990622572"
"3",2000,"YR2000","Indonesia","IDN","165021012077.80963","780.19020467518021","211513822","3.4822106064327016","4738.5547767628914","1002269831589.476","4.9200677470169012","1.3897699E+15","19486793.832291018","6.5319949726929618","0.68448376350043494"
"4",2000,"YR2000","Korea, Rep.","KOR","576178114168.494","12256.993567950305","47008111","8.152689659585306","18538.835532559173","871475638525.28564","9.06083332508534","651634400000000","19221170.1508278","10.900007734398306","2.45731751955534"
"5",2000,"YR2000","Saudi Arabia","SAU","189514926213.33334","9171.3314763051476","20663840","3.22649326936822","39837.308676712091","823191772526.19043","5.6254161425834326","710680973300","68820.111765286609","25.863081594335966","10.5344033130193"
"6",2000,"YR2000","Turkiye","TUR","274302959053.10303","4337.4780029635431","63240196","5.322135819670649","9628.9147017462874","608934453005.7168","6.9332397045590426","171494210000","11626.064511248511","11.928657183236682","3.6610946697956197"
"7",2000,"YR2000","United Kingdom","GBR","1662127402027.5381","28223.067570651478","58892514","3.3026077838272556","26472.193714332941","1559014038932.0647","3.6723691050330984","1098500000000","25677.340315273348","16.751297223486571","2.3727966452319"
"8",2000,"YR2000","United States","USA","10250947997000","36329.956072710193","282162411","2.9254409834777562","36329.956072710193","10250947997000","4.0771594794161814","10250947997000","48746.040960076716","14.023951740080221","3.11224214697679"
"9",2000,"YR2000","Brunei Darussalam","BRN","6001153306.2645016","18012.502194895344","333166","0.70331697090718137","66363.650395584322","22110111947.695248","2.8494218578272665","10345988300","48992.584777558332","25.814371933902148","4.06920549004446"
"10",2000,"YR2000","Israel","ISR","132455662080.29823","21061.482283399306","6289000","6.0526603954417908","24951.21756531456","156918207268.26328","8.8922744860299616","540061471000","111738.40912704723","24.250981236911826","6.29716498346273"
"11",2000,"YR2000","Kuwait","KWT","37712842242.503258","18440.378521244569","2045123","-0.090926975308363467","56115.465650967279","114763029458.50316","4.6945818707921063","11570300000","10337.128867065698","21.479131915334953","7.15014865654555"
"12",2000,"YR2000","Monaco","MCO","2647885848.5351024","82365.492364535967","32148","2.9017685722363922","..","..","3.9102291764120878","2874015300","108414.07241508026","..",".."
"13",2000,"YR2000","Oman","OMN","19507452535.760727","8601.27194448996","2267973","5.9367936113190183","40912.353425278263","92788112934.988617","6.55106688508485","7500615500","8638.6622327514488","21.482728984041376","8.0852670608468813"
"14",2000,"YR2000","Qatar","QAT","17759890109.89011","29976.167634467591","592467","..","96713.105511353118","57299323482.99485","..","64646000000","228291.40509091647","19.66865699347214",".."
"15",2000,"YR2000","Singapore","SGP","96074477958.236664","23852.327028597541","4027887","7.1659882015649146","43775.872653854087","176324268376.11438","9.0383163255516337","165632400000","47967.755798511724","10.504164644115525","4.51888629365982"
"16",2000,"YR2000","United Arab Emirates","ARE","104337372362.15112","33291.36625418382","3134067","4.9091597030278962","98253.40518075107","307932754814.621","10.852704212598567","383179000000","232290.84757919982","..","8.3237222448449"
"17",2000,"YR2000","Afghanistan","AFG","..","..","20779957","..","..","..","..","..","..","..",".."
"18",2000,"YR2000","Bangladesh","BGD","53369787318.624527","418.06894211203792","127657862","3.2574965074800843","1330.0355598265671","169789495951.43265","5.2932947184603591","2685034000000","64951.120865292731","4.9731213831929129","1.3571191812402"
"19",2000,"YR2000","East Asia & Pacific","EAS","8373137090556.207","4089.1644617424163","2047640091","4.4159506414709995","5774.617178605","11824337645088.906","5.3933712782710472","..","..","15.751168144945604","1.3584409551818595"
"20",2000,"YR2000","Egypt, Arab Rep.","EGY","99838543960.076324","1450.4762424329781","68831561","4.3363475882875093","5787.5421304359534","398365559191.1723","6.3700038342316248","340100000000","25298.909976776496","11.202587474272272","2.55126513982739"
"21",2000,"YR2000","Europe & Central Asia","ECS","10062644063691.064","11683.494414252164","861270071","4.1472721030502555","15952.587192467849","13739485903890.475","4.263269596234224","..","..","18.564267942524523","1.8620784033204807"
"22",2000,"YR2000","Iran, Islamic Rep.","IRN","109591707802.21602","1670.009673565299","65623397","4.5188623086249038","10858.043998354897","712541731947.51074","5.8455274757822195","628070077414500","127253810.17611752","12.932114086370714","2.29504222152572"
"23",2000,"YR2000","Iraq","IRQ","48364250943.905067","2058.2644008244874","23497589","13.460787537822668","11045.903129512428","259552091871.0968","16.921665685399191","50213699900000","4775443.1812174432","11.838715354253351",".."
